id,title,channelTitle,views,likes,duration,datetime
https://www.youtube.com/watch?v=xnmpvO-gt6w,RESCUE the Smallest KITTEN in the World !! And building a NEW HOUSE for CAT,Like Amagic,230840670,1377999,10M1S,2021-03-28
https://www.youtube.com/watch?v=SB-qEYVdvXA,So many cute kittens videos compilation 2018,Funny Videos,42460915,270551,11M8S,2018-03-19
https://www.youtube.com/watch?v=co47u19cbds,15 Minutes of Kittens | CUTEST Kitten Videos 😍,The Pet Collective,131805,1276,15M3S,2022-07-10
https://www.youtube.com/watch?v=OetESwIP8FM,Rescue the TINIEST KITTEN in the World😱 *DIY Kitten House and Makeover*,Cool Tool,2093214,13522,10M2S,2023-01-03
https://www.youtube.com/watch?v=SUGyz0dnBFs,Kitten - Cool (Cover) | Live @ JBTV,JBTV Music Television,5987,138,3M18S,2018-12-13
https://www.youtube.com/watch?v=tBpOdJ_G-sQ,Fun Pet Care Game - Little Kitten Adventures (New Update) - Play Costume Dress-Up Party Gamepaly,ArcadeGaming,109996519,303110,17M50S,2018-04-24
https://www.youtube.com/watch?v=SXRE6bUP2PI,Little Kitten My Favorite Cat - Play Fun Kitten Pet Care Animation Games For Children By Fox &amp; Sheep,Penguin Gaming,9609546,46713,14M2S,2019-03-10
https://www.youtube.com/watch?v=9jBXTQGJXvM,Makeover of Homeless Kitten😱 *Gadgets and Hacks for Pets*,Cool Tool,5318628,26488,8M10S,2022-12-27
https://www.youtube.com/watch?v=RngvBWdvsFs,cool cat Funny - The best cat😹 and kitten🐈,it's funny channel ,3424,186,29S,2022-11-20
https://www.youtube.com/watch?v=9f8fUBIZnrU,How to Be Cool - Big Cat Teaches the Little Kitten!,Adventures with Maine Coons,144409,2185,3M35S,2023-03-06
https://www.youtube.com/watch?v=o_OrXVbEcwo,CRAZY KITTEN (Full Colour Special!),Simon's Cat,8570522,95088,13M11S,2022-04-21
https://www.youtube.com/watch?v=iOT7FPCGMJk,Is Your Kitten Cool Enough to Play Video Games? #Shorts,Inside Edition,189619,10485,24S,2022-05-18
https://www.youtube.com/watch?v=NMq0dJBC300,Monster Truck Grabs Baby Kitten&#39;s Toy | Police Truck | Nursery Rhymes | Kids Songs | BabyBus,BabyBus - Kids Songs and Cartoons,13787505,23391,3M2S,2019-02-01
https://www.youtube.com/watch?v=z99lu7LsHwM,Build Cat House For Rescued Kitten And Swimming Pool Fish Pond,Wilderness TV,20816123,76472,15M,2021-08-01
https://www.youtube.com/watch?v=8G_WxegAwZo,How to make Amazing Kitten Cat Pet House from Cardboard,EverXFun,54969945,490763,6M55S,2017-11-23
https://www.youtube.com/watch?v=wQe5lJT3tZ0,Kitten Playtime with Laser Pointer and More! 4 Popular Cat Toys and How To Use Them!,Kitten Lady,86972,4987,5M53S,2021-06-12
https://www.youtube.com/watch?v=jSwGlM39n78,Sleepy Kitten Music! The Perfect Music to Make your Kitten Calm Down and go to Sleep!,Relax My Cat - Relaxing Music for Cats,2861564,39889,1H2M3S,2016-01-24
https://www.youtube.com/watch?v=f29MLfkbLoQ,HOW TO DRAW A CUTE BABY KITTEN,GuuhDrawings,6705141,62038,10M6S,2019-12-11
https://www.youtube.com/watch?v=U8WJ1fnjYN8,#two#cute #baby #kitten #feeling #cool #shorts #viralshorts #video #india #northeast #bengaluru #,YahaWaha,1518,116,21S,2021-12-02
https://www.youtube.com/watch?v=9As8zP9nvNE,&quot;COOL&quot; Kitten😎 #shorts,The Vet Diaries,21514,1436,4S,2022-08-08
https://www.youtube.com/watch?v=B5u76uPh0t4,Cool cute cat kitten,Cheeky lol cats,1237,68,4S,2023-03-07
