id,title,channelTitle,views,likes,duration,datetime
https://www.youtube.com/watch?v=jtn-hRJjl68,What is Data Science? | Complete RoadMap | Simply Explained,Apna College,1504152,74133,7M54S,2021-11-11
https://www.youtube.com/watch?v=t8JRidxZCXU,What is Data Science?,CodeWithHarry,1426679,55635,6M30S,2021-06-07
https://www.youtube.com/watch?v=cTgGJpPiqjk,Don’t waste money in data science courses | Reality behind data science | Ranjan Sir | DataGyan,Data Gyan,294761,2272,5M19S,2022-12-18
https://www.youtube.com/watch?v=MUl-nf_BrGk,The Indian Data Science Fad - Please save yourself from this mistake,Yash Mittra - YMGrad,117871,2361,7M11S,2021-03-09
https://www.youtube.com/watch?v=R6u5EBWAssY,"Reality behind data science, machine learning jobs",codebasics,911055,45416,53S,2022-02-16
https://www.youtube.com/watch?v=1bej3XvMTPE,Data Science &amp; Data Analyst Salaries in India 2023 | My Salary Journey 🤑💸,ATISH JAIN,2789,68,8M17S,2023-03-05
https://www.youtube.com/watch?v=nfZ_ZPU6u9g,"What is Data Science in Hindi, Scope in India, Jobs, Skills Required, Data Scientist Salary in India",Ujjwal Kumar Sen,206011,6787,14M21S,2021-11-01
https://www.youtube.com/watch?v=7UMoTY5Odpk,Data Science Salary in India for Freshers and Experienced 2023 in Hindi | Data Analyst Course India,Ujjwal Kumar Sen,5537,140,11M15S,2023-02-08
https://www.youtube.com/watch?v=de7ZUb1fH3s,A Day in The Life of a Data Scientist 👨🏻‍💻| upGrad,upGrad,2264139,,3M24S,2019-11-22
https://www.youtube.com/watch?v=USxab2QN3hA,NO Master&#39;s DEGREE to DATA SCIENTIST @ Microsoft 🔥! She Cracked It In 1.5 YEARS 🔥 35+ LPA CTC ❤️,E-Learning Bridge,663563,13715,25M11S,2022-07-23
https://www.youtube.com/watch?v=p4g5cSrnzS4,A Day In My Life As A Data Scientist in Gurgaon India | CARS24,ATISH JAIN,20925,489,6M59S,2023-01-09
https://www.youtube.com/watch?v=6QBzF7KaMcA,Truth About Data Science😲| What is Data Science in Hindi | Future Of Data Science | Data Scientist,SSP Knowledge Hub,32738,1236,6M37S,2022-06-23
https://www.youtube.com/watch?v=4ZFTCv8qfHU,Complete Data Science Roadmap | How to Become a Data Scientist in 2022 🔥 | Data Scientist Roadmap,Anuj Bhaiya,117193,5464,14M36S,2022-05-10
https://www.youtube.com/watch?v=-GfWu7ifoCE,How to get a data science job in UK from India#shorts #datascience#analytics #machinelearning#ukvisa,Unfold Data Science,1673,106,1M1S,2022-07-24
https://www.youtube.com/watch?v=n3wjIslUKvg,5 LPA to 50+ LPA in 2 YEARS 🔥! Ultimate DATA SCIENTIST @ Microsoft 🔥 FRESHER Cracked SENIOR Role ❤️,E-Learning Bridge,171651,4999,25M30S,2022-03-05
https://www.youtube.com/watch?v=IGFnBVcsP-w,Top 10 Data Science Colleges in India 2023| Courses| Fees| Salary Package| LMS| 50 Lac Salary,College Vidya,7932,158,5M6S,2022-08-31
https://www.youtube.com/watch?v=IvfORHxKYUU,How to Become a Data Scientist With Full Information? – [Hindi] – Quick Support,Quick Support,404339,18760,8M51S,2021-05-31
https://www.youtube.com/watch?v=mVqyNv2fBn4,All Data Science Degree Courses For FREE! Harvard MIT Free Courses 2022,Ishan Sharma,276300,11988,9M23S,2022-03-16
https://www.youtube.com/watch?v=dqGDeulDOKQ,My Salary As A Data Scientist From Starting Of My Career,Krish Naik,401153,11725,10M43S,2021-08-10
https://www.youtube.com/watch?v=dQV1yMExzII,How To Become A Data Scientist In India | Quick Tips To Become A Data Scientist | #YoutubeShorts,Board Infinity,67641,4210,1M,2022-06-02
https://www.youtube.com/watch?v=KDCIycGqacU,Data Science vs Software development - Which career path is the most Rewarding?,CodeWithHarry,431580,20823,9M6S,2021-10-21
https://www.youtube.com/watch?v=pn0PUY0jwGQ,The Harsh Reality of Being a Data Scientist,Sundas Khalid,405758,7559,12M10S,2022-08-03
https://www.youtube.com/watch?v=tBU65SsJG_8,How To Become A Data Scientist In India,365 Data Science,281236,11331,7M48S,2020-01-29
https://www.youtube.com/watch?v=MkooBL3tmyM,Fix this before you choose Data Science! #datascientist #shorts #developer #programming,BEPEC by Kanth - #BuildExperience & Get Hired!,842994,30857,31S,2021-07-08
https://www.youtube.com/watch?v=A4Z-A-oUPuc,Complete Data Analyst Roadmap | How to become a Data Analyst | Data Analytics Career Job and Course,Anuj Bhaiya,643067,18976,16M55S,2022-03-21
https://www.youtube.com/watch?v=3USVW3kpwyY,All Data Science Degree Courses For FREE! Harvard MIT Free Courses,Ishan Sharma,134355,7074,9M6S,2021-11-18
https://www.youtube.com/watch?v=Q9tXV5fen5A,Data Science Roles &amp; Average Salaries in India,Data Folkz,252163,6779,15S,2022-06-25
https://www.youtube.com/watch?v=Fz2fgvqfsvI,Best Colleges in India for Machine Learning and Data Science | #Shorts,Manish Mazumder,3670,209,31S,2021-10-24
https://www.youtube.com/watch?v=MepO2YJEPTQ,Where to do Data science Abroad or in India?🤷‍♂️ #datascience #youtubeshorts #shorts #abroad #india,BEPEC by Kanth - #BuildExperience & Get Hired!,60577,3599,1M,2022-01-14
https://www.youtube.com/watch?v=IpawPa1e2o0,Do this to get a data science job abroad,codebasics,80060,2551,7M55S,2021-01-10
https://www.youtube.com/watch?v=nj4_RJStmLQ,Salaries of Data Scientists in India | Tutort Academy #Shorts #DataScientist #Salary,Tutort Academy,24523,804,21S,2021-10-20
